Faecalibacterium prausnitzii SL3 3;No mapping available
Roseburia intestinalis M50 1;No mapping available
Bacteroides vulgatus ATCC 8482;No mapping available
unknown sp SS3 4;No mapping available
Coprococcus comes SL7 1;No mapping available
Eubacterium rectale M104 1;No mapping available
Ruminococcus sp SR1 5;No mapping available
Bacteriodes xylanisolvens XB1A;No mapping available
Bacteroides sp. 2_1_7;No mapping available
Ruminococcus torques L2-14;No mapping available
Parabacteroides distasonis ATCC 8503;No mapping available
Eubacterium siraeum 70 3;No mapping available
Bacteroides dorei 5_1_36/D4;No mapping available
Bacteroides thetaiotaomicron VPI-5482;No mapping available
Bifidobacterium longum subsp. infantis CCUG 52486;No mapping available
Ruminococcus obeum A2-162;No mapping available
Ruminococcus bromii L2-63;No mapping available
Akkermansia muciniphila ATCC BAA-835;No mapping available
Bacteroides fragilis 3_1_12;No mapping available
Streptococcus thermophilus LMD-9;No mapping available
Escherichia coli O157:H7 str. EC4115;No mapping available
Gordonibacter pamelaeae gen nov sp Nov;No mapping available
Clostridium asparagiforme;No mapping available
Enterococcus faecalis TX0104;No mapping available
Actinomyces odontolyticus ATCC 17982;No mapping available
Alistipes putredinis DSM 17216;No mapping available
Anaerobaculum hydrogeniformans ATCC BAA-1850;No mapping available
Anaerococcus hydrogenalis DSM 7454;No mapping available
Anaerofustis stercorihominis DSM 17244;No mapping available
Anaerostipes caccae DSM 14662;No mapping available
Anaerotruncus colihominis DSM 17241;No mapping available
Bacteroides caccae ATCC 43185;No mapping available
Bacteroides capillosus ATCC 29799;No mapping available
Bacteroides cellulosilyticus DSM 14838;No mapping available
Bacteroides coprocola DSM 17136;No mapping available
Bacteroides coprophilus DSM 18228;No mapping available
Bacteroides dorei DSM 17855;No mapping available
Bacteroides eggerthii DSM 20697;No mapping available
Bacteroides finegoldii DSM 17565;No mapping available
Bacteroides fragilis 3_1_12;No mapping available
Bacteroides intestinalis DSM 17393;No mapping available
Bacteroides ovatus ATCC 8483;No mapping available
Bacteroides pectinophilus ATCC 43243;No mapping available
Bacteroides plebeius DSM 17135;No mapping available
Bacteroides sp. 2_1_7;No mapping available
Bacteroides sp. D4;No mapping available
Bacteroides stercoris ATCC 43183;No mapping available
Bacteroides uniformis ATCC 8492;No mapping available
Bifidobacterium adolescentis L2-32;No mapping available
Bifidobacterium angulatum DSM 20098;No mapping available
Bifidobacterium bifidum NCIMB 41171;No mapping available
Bifidobacterium breve DSM 20213;No mapping available
Bifidobacterium catenulatum DSM 16992;No mapping available
Bifidobacterium dentium ATCC 27678;No mapping available
Bifidobacterium gallicum DSM 20093;No mapping available
Bifidobacterium longum subsp. longum ATCC 55813;No mapping available
Bifidobacterium longum subsp. infantis CCUG 52486;No mapping available
Bifidobacterium pseudocatenulatum DSM 20438;No mapping available
Blautia hansenii DSM 20583;No mapping available
Blautia hydrogenotrophica DSM 10507;No mapping available
Bryantella formatexigens DSM 14469;No mapping available
Butyrivibrio crossotus DSM 2876;No mapping available
Catenibacterium mitsuokai DSM 15897;No mapping available
Citrobacter youngae ATCC 29220;No mapping available
Clostridium asparagiforme DSM 15981;No mapping available
Clostridium bartlettii DSM 16795;No mapping available
Clostridium bolteae ATCC BAA-613;No mapping available
Clostridium hathewayi DSM 13479;No mapping available
Clostridium hiranonis DSM 13275;No mapping available
Clostridium hylemonae DSM 15053;No mapping available
Clostridium leptum DSM 753;No mapping available
Clostridium methylpentosum DSM 5476;No mapping available
Clostridium nexile DSM 1787;No mapping available
Clostridium ramosum DSM 1402;No mapping available
Clostridium scindens ATCC 35704;No mapping available
Clostridium spiroforme DSM 1552;No mapping available
Clostridium sporogenes ATCC 15579;No mapping available
Clostridium symbiosum ATCC 14940;No mapping available
Collinsella aerofaciens ATCC 25986;No mapping available
Collinsella intestinalis DSM 13280;No mapping available
Collinsella stercoris DSM 13279;No mapping available
Coprococcus comes ATCC 27758;No mapping available
Coprococcus eutactus ATCC 27759;No mapping available
Desulfovibrio piger ATCC 29098;No mapping available
Dorea formicigenerans ATCC 27755;No mapping available
Dorea longicatena DSM 13814;No mapping available
Enterobacter cancerogenus ATCC 35316;No mapping available
Enterococcus faecalis TX0104;No mapping available
Enterococcus faecalis TX1322;No mapping available
Enterococcus faecium TX1330;No mapping available
Escherichia coli SE11;No mapping available
Eubacterium biforme DSM 3989;No mapping available
Eubacterium dolichum DSM 3991;No mapping available
Eubacterium hallii DSM 3353;No mapping available
Eubacterium siraeum DSM 15702;No mapping available
Eubacterium ventriosum ATCC 27560;No mapping available
Faecalibacterium prausnitzii A2-165;No mapping available
Faecalibacterium prausnitzii M21/2;No mapping available
Fusobacterium gonidiaformans ATCC 25563;No mapping available
Fusobacterium mortiferum ATCC 9817;No mapping available
