"Subject","Predicate","Object","Provenance","Score"
"tellurite","is adjacent to","resistance to chemicals","210120024","11.8198"
"tellurite","is adjacent to","resistance to chemicals","210209071","11.8198"
"tellurite","is adjacent to","resistance to chemicals","210213483","11.8198"
"tellurite","is adjacent to","resistance to chemicals","210225739","11.8198"
"tellurite","is functionally related to","resistance to chemicals","210225186","11.8198"
"tellurite","affects","resistance to chemicals","210219161","11.8198"
"tellurite","affects","resistance to chemicals","210236540","11.8198"
"tellurite","gene product variant decreases","resistance to chemicals","210131707","11.8198"
"alverine citrate","is adjacent to","resistance to chemicals","210227271","9.525"
"alverine citrate","is functionally related to","resistance to chemicals","210146676","9.525"
"alverine citrate","is functionally related to","resistance to chemicals","210150065","9.525"
"alverine citrate","is functionally related to","resistance to chemicals","210231174","9.525"
"alverine citrate","affects","resistance to chemicals","210132440","9.525"
"alverine citrate","affects","resistance to chemicals","210167852","9.525"
"alverine citrate","gene product variant increases","resistance to chemicals","210104191","9.525"
"alverine citrate","gene product variant does not result in abnormal","resistance to chemicals","210181753","9.525"
"echinacea preparation","is a","resistance to chemicals","210224345","10.0624"
"echinacea preparation","is adjacent to","resistance to chemicals","210163264","10.0624"
"echinacea preparation","is adjacent to","resistance to chemicals","210180517","10.0624"
"echinacea preparation","is adjacent to","resistance to chemicals","210210243","10.0624"
"echinacea preparation","is adjacent to","resistance to chemicals","210226841","10.0624"
"echinacea preparation","is functionally related to","resistance to chemicals","210116587","10.0624"
"echinacea preparation","is functionally related to","resistance to chemicals","210121673","10.0624"
"echinacea preparation","is functionally related to","resistance to chemicals","210232455","10.0624"
"echinacea preparation","gene product variant increases","resistance to chemicals","210155180","10.0624"
"phleomycin d1","is a","resistance to chemicals","210155996","8.9631"
"phleomycin d1","is adjacent to","resistance to chemicals","210127105","8.9631"
"phleomycin d1","is adjacent to","resistance to chemicals","210155141","8.9631"
"phleomycin d1","is adjacent to","resistance to chemicals","210200119","8.9631"
"phleomycin d1","is functionally related to","resistance to chemicals","210175885","8.9631"
"phleomycin d1","affects","resistance to chemicals","210239697","8.9631"
"phleomycin d1","gene product variant increases","resistance to chemicals","210124284","8.9631"
